R,G,B
3,12,9
12,24,14
11,23,13
13,25,15
10,22,12
16,30,15
17,31,16
12,24,12
18,32,17
14,28,15
14,26,16
10,21,13
15,29,14
11,22,14
13,25,13
15,27,15
15,27,17
16,28,16
11,23,11
13,27,14
14,26,14
19,33,18
17,31,18
2,11,8
15,29,16
12,26,13
12,23,15
9,20,12
20,34,19
13,24,16
12,25,15
16,30,17
9,21,11
18,32,19
17,29,17
16,28,14
14,27,17
14,28,13
14,26,12
15,28,18
13,26,16
11,24,14
17,34,16
12,26,11
17,29,15
14,25,17
15,27,13
19,31,19
11,25,12
16,28,18
15,32,16
188,208,206
20,34,17
172,191,187
14,31,15
13,25,11
13,27,12
8,20,10
19,31,17
19,33,20
10,24,11
162,181,177
18,30,16
2,11,6
150,171,166
16,30,13
19,36,18
18,32,15
16,33,17
169,188,184
18,30,18
185,205,203
15,29,12
20,34,21
16,33,15
12,24,10
13,30,14
9,20,14
7,18,10
151,172,167
8,19,11
18,35,17
19,33,16
147,168,163
187,207,205
17,30,20
21,35,18
10,23,13
17,31,14
10,21,15
11,23,9
12,23,17
165,184,180
11,22,16
4,13,10
11,25,10
3,12,7
16,29,19
7,19,9
149,170,165
184,204,202
17,29,19
168,187,183
174,193,189
9,23,10
18,35,19
20,37,18
22,36,19
21,35,20
13,24,18
19,32,22
12,29,13
10,22,10
14,27,18
20,37,19
17,34,18
15,32,14
19,36,20
20,32,18
8,19,13
144,165,160
14,31,13
23,37,20
167,186,182
166,185,181
152,173,168
13,27,10
19,36,17
170,189,185
20,33,16
21,33,19
21,38,20
19,34,15
221,237,236
1,10,7
13,26,9
146,167,162
9,18,13
20,32,20
18,35,16
15,28,11
10,19,14
13,26,17
171,190,186
20,35,16
161,180,176
14,28,11
22,39,20
16,33,14
20,37,21
145,166,161
148,169,164
19,32,15
190,210,208
6,18,8
9,21,9
12,22,14
13,30,12
16,31,12
142,163,158
19,32,14
10,22,8
18,31,14
14,30,17
20,35,14
21,35,22
23,38,19
17,30,13
178,197,193
21,36,17
11,21,13
6,17,9
143,164,159
22,36,21
18,33,14
18,30,20
7,18,12
186,206,204
15,31,18
16,29,20
12,26,9
11,28,12
14,27,10
159,178,174
22,34,20
160,179,175
9,22,12
175,194,190
16,29,12
11,24,15
8,17,14
21,33,21
189,209,207
6,15,10
10,24,9
183,203,201
25,39,22
15,26,18
17,32,13
14,24,16
173,192,188
23,40,22
21,38,22
13,23,15
19,37,15
18,37,18
8,21,11
22,35,18
11,20,15
22,34,22
133,154,149
14,27,9
12,25,8
23,40,21
153,174,169
222,238,237
44,62,48
21,34,17
21,40,21
3,13,5
21,34,16
12,25,7
17,33,20
20,38,16
23,36,19
13,23,14
21,38,19
22,37,16
16,32,19
9,21,7
14,24,15
24,39,16
14,29,10
4,13,8
24,36,22
8,17,12
16,27,19
22,39,23
22,41,22
3,14,6
13,28,9
165,184,178
11,27,14
191,211,209
18,33,12
15,31,20
16,27,13
22,37,18
24,42,20
15,32,13
24,41,23
139,160,155
20,39,17
177,196,192
5,14,9
23,37,22
